# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04734e-05 to 1.53044 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.403607018157e-01       4.252389526356e+02 
       3.435933417223e-01       4.167539817914e+02 
       3.468259821522e-01       4.084564631344e+02 
       3.500586230909e-01       4.003990875446e+02 
       3.532912645243e-01       3.926229205871e+02 
       3.565239064389e-01       3.851608373395e+02 
       3.597565488217e-01       3.780331583872e+02 
       3.629891916601e-01       3.712457091453e+02 
       3.662218349420e-01       3.647855624213e+02 
       3.694544786557e-01       3.586235473824e+02 
       3.711414733970e-01       3.555121329089e+02 
       3.726871227899e-01       3.527165675868e+02 
       3.759197673338e-01       3.470168197369e+02 
       3.791524122767e-01       3.414719239889e+02 
       3.823850576087e-01       3.360438651761e+02 
       3.856177033197e-01       3.307003671936e+02 
       3.888503494003e-01       3.254202300588e+02 
       3.920829958414e-01       3.201898951310e+02 
       3.953156426341e-01       3.150018984242e+02 
       3.985482897697e-01       3.098540662710e+02 
       4.017809372400e-01       3.047499913790e+02 
       4.050135850370e-01       2.996995037525e+02 
       4.082462331527e-01       2.947192192557e+02 
       4.114788815798e-01       2.898284927897e+02 
       4.147115303108e-01       2.850475384811e+02 
       4.179441793387e-01       2.803912560494e+02 
       4.211768286567e-01       2.758697092708e+02 
       4.244094782580e-01       2.714857134868e+02 
       4.276421281363e-01       2.672366378456e+02 
       4.308747782852e-01       2.631183768253e+02 
       4.341074286988e-01       2.591248027660e+02 
       4.373400793710e-01       2.552498109024e+02 
       4.405727302963e-01       2.514857797402e+02 
       4.438053814690e-01       2.478226765788e+02 
       4.470380328838e-01       2.442476801374e+02 
       4.502706845355e-01       2.407465839509e+02 
       4.535033364188e-01       2.373059721247e+02 
       4.567359885290e-01       2.339152622848e+02 
       4.599686408612e-01       2.305685633865e+02 
       4.632012934108e-01       2.272641184508e+02 
       4.664339461732e-01       2.240030308934e+02 
       4.696665991440e-01       2.207875640562e+02 
       4.728992523188e-01       2.176200298754e+02 
       4.761319056937e-01       2.145023052222e+02 
       4.793645592644e-01       2.114367896288e+02 
       4.825972130271e-01       2.084271287726e+02 
       4.858298669778e-01       2.054780769943e+02 
       4.890625211129e-01       2.025950840522e+02 
       4.922951754288e-01       1.997820817127e+02 
       4.955278299217e-01       1.970405925477e+02 
       4.987604845884e-01       1.943687780245e+02 
       5.019931394254e-01       1.917622873065e+02 
       5.052257944295e-01       1.892134027268e+02 
       5.084584495974e-01       1.867218625699e+02 
       5.116911049261e-01       1.842775859490e+02 
       5.149237604125e-01       1.818791855044e+02 
       5.181564160537e-01       1.795237524398e+02 
       5.213890718466e-01       1.772086838367e+02 
       5.246217277887e-01       1.749303044480e+02 
       5.278543838770e-01       1.726854106167e+02 
       5.310870401090e-01       1.704714307358e+02 
       5.343196964819e-01       1.682876135319e+02 
       5.375523529934e-01       1.661350807745e+02 
       5.407850096407e-01       1.640162080202e+02 
       5.440176664216e-01       1.619335002095e+02 
       5.472503233337e-01       1.598886074589e+02 
       5.504829803746e-01       1.578817878208e+02 
       5.537156375421e-01       1.559122479899e+02 
       5.569482948339e-01       1.539787396497e+02 
       5.601809522480e-01       1.520803868063e+02 
       5.634136097822e-01       1.502171478453e+02 
       5.666462674343e-01       1.483893094966e+02 
       5.698789252026e-01       1.465968599617e+02 
       5.731115830848e-01       1.448389837600e+02 
       5.763442410792e-01       1.431135722349e+02 
       5.795768991839e-01       1.414180798928e+02 
       5.828095573969e-01       1.397499797230e+02 
       5.860422157166e-01       1.381075510506e+02 
       5.892748741411e-01       1.364899145168e+02 
       5.925075326687e-01       1.348974316934e+02 
       5.957401912978e-01       1.333299442738e+02 
       5.989728500267e-01       1.317872148857e+02 
       6.022055088538e-01       1.302683001680e+02 
       6.054381677775e-01       1.287718936611e+02 
       6.086708267962e-01       1.272970471042e+02 
       6.119034859085e-01       1.258434290676e+02 
       6.151361451129e-01       1.244116275250e+02 
       6.183688044079e-01       1.230026212344e+02 
       6.216014637921e-01       1.216173251727e+02 
       6.248341232642e-01       1.202558518917e+02 
       6.280667828227e-01       1.189173631281e+02 
       6.312994424663e-01       1.176007865025e+02 
       6.345321021938e-01       1.163048708593e+02 
       6.377647620038e-01       1.150288103002e+02 
       6.409974218951e-01       1.137724940158e+02 
       6.442300818665e-01       1.125361001281e+02 
       6.474627419168e-01       1.113196076500e+02 
       6.506954020447e-01       1.101225844665e+02 
       6.539280622492e-01       1.089438526661e+02 
       6.571607225291e-01       1.077821322710e+02 
       6.603933828833e-01       1.066364580426e+02 
       6.636260433107e-01       1.055061763863e+02 
       6.668587038102e-01       1.043915179895e+02 
       6.700913643808e-01       1.032929856601e+02 
       6.733240250215e-01       1.022109360616e+02 
       6.765566857312e-01       1.011451584510e+02 
       6.797893465090e-01       1.000952081435e+02 
       6.830220073540e-01       9.906002049231e+01 
       6.862546682650e-01       9.803912430799e+01 
       6.894873292413e-01       9.703216987478e+01 
       6.927199902819e-01       9.603949942998e+01 
       6.959526513859e-01       9.506145292676e+01 
       6.991853125524e-01       9.409849246559e+01 
       7.024179737806e-01       9.314990634392e+01 
       7.056506350695e-01       9.221545753355e+01 
       7.088832964185e-01       9.129409973150e+01 
       7.121159578266e-01       9.038508515083e+01 
       7.153486192931e-01       8.948807699656e+01 
       7.185812808171e-01       8.860334301318e+01 
       7.218139423979e-01       8.773078441604e+01 
       7.250466040348e-01       8.687086179742e+01 
       7.282792657269e-01       8.602327289436e+01 
       7.315119274736e-01       8.518732384287e+01 
       7.347445892741e-01       8.436199367488e+01 
       7.379772511277e-01       8.354723878820e+01 
       7.412099130337e-01       8.274275821201e+01 
       7.444425749914e-01       8.194867455252e+01 
       7.476752370003e-01       8.116547968510e+01 
       7.509078990595e-01       8.039325007699e+01 
       7.541405611685e-01       7.963187276878e+01 
       7.573732233266e-01       7.888078466530e+01 
       7.606058855331e-01       7.813937608474e+01 
       7.638385477876e-01       7.740720697953e+01 
       7.670712100893e-01       7.668417217154e+01 
       7.703038724376e-01       7.597039440183e+01 
       7.735365348321e-01       7.526621108660e+01 
       7.767691972720e-01       7.457167157782e+01 
       7.800018597569e-01       7.388658070843e+01 
       7.832345222862e-01       7.321042044595e+01 
